,fips
1620,39047.0
1621,39049.0
1622,39053.0
1623,39055.0
1624,39057.0
1625,39059.0
1626,39061.0
1627,39063.0
1628,39065.0
1629,39067.0
1630,39069.0
1631,39071.0
1632,39077.0
1633,39081.0
1634,39083.0
1635,39085.0
1636,39089.0
1637,39091.0
1638,39093.0
1639,39095.0
1640,39097.0
1641,39099.0
1642,39101.0
1643,39103.0
1644,39105.0
1645,39107.0
1646,39109.0
1647,39111.0
1648,39113.0
1649,39115.0
1650,39117.0
1651,39119.0
1652,39121.0
1653,39123.0
1654,39125.0
1655,39127.0
1656,39129.0
1657,39133.0
1658,39135.0
1659,39137.0
1660,39141.0
1661,39143.0
1662,39147.0
1663,39149.0
1664,39151.0
1665,39153.0
1666,39155.0
1667,39159.0
1668,39163.0
1669,39165.0
1670,39167.0
1671,39169.0
1672,39173.0
1673,40003.0
1674,40005.0
1675,40007.0
1676,40009.0
1677,40011.0
1678,40013.0
1679,40015.0
1680,40019.0
1681,40021.0
1682,40023.0
1683,40025.0
1684,40027.0
1685,40031.0
1686,40035.0
1687,40037.0
1688,40039.0
1689,40041.0
1690,40043.0
1691,40045.0
1692,40047.0
1693,40049.0
1694,40051.0
1695,40053.0
1696,40055.0
1697,40057.0
1698,40059.0
1699,40061.0
1700,40063.0
1701,40065.0
1702,40067.0
1703,40069.0
1704,40071.0
1705,40073.0
1706,40079.0
1707,40081.0
1708,40083.0
1709,40085.0
1710,40091.0
1711,40097.0
1712,40099.0
1713,40101.0
1714,40103.0
1715,40105.0
1716,40107.0
1717,40109.0
1718,40111.0
1719,40113.0
1720,40115.0
1721,40117.0
1722,40121.0
1723,40123.0
1724,40127.0
1725,40129.0
1726,40131.0
1727,40133.0
1728,40135.0
1729,40137.0
1730,40139.0
1731,40143.0
1732,40147.0
1733,40149.0
1734,40151.0
1735,40153.0
1736,41001.0
1737,41005.0
1738,41007.0
1739,41009.0
1740,41011.0
1741,41013.0
1742,41015.0
1743,41017.0
1744,41019.0
1745,41021.0
1746,41023.0
1747,41027.0
1748,41031.0
1749,41035.0
1750,41037.0
1751,41039.0
1752,41041.0
1753,41045.0
1754,41047.0
1755,41049.0
1756,41053.0
1757,41055.0
1758,41057.0
1759,41061.0
1760,41065.0
1761,41067.0
1762,41071.0
1763,42007.0
1764,42009.0
1765,42015.0
1766,42017.0
1767,42019.0
1768,42021.0
1769,42027.0
1770,42029.0
1771,42031.0
1772,42033.0
1773,42035.0
1774,42037.0
1775,42039.0
1776,42041.0
1777,42043.0
1778,42049.0
1779,42051.0
1780,42053.0
1781,42055.0
1782,42057.0
1783,42059.0
1784,42061.0
1785,42065.0
1786,42067.0
1787,42069.0
1788,42073.0
1789,42075.0
1790,42077.0
1791,42079.0
1792,42081.0
1793,42083.0
1794,42087.0
1795,42089.0
1796,42091.0
1797,42093.0
1798,42095.0
1799,42099.0
1800,42105.0
1801,42107.0
1802,42109.0
1803,42111.0
1804,42113.0
1805,42115.0
1806,42119.0
1807,42121.0
1808,42123.0
1809,42129.0
1810,42131.0
1811,42133.0
1812,44001.0
1813,44003.0
1814,44005.0
1815,44009.0
1816,45001.0
1817,45003.0
1818,45005.0
1819,45007.0
1820,45009.0
1821,45011.0
1822,45015.0
1823,45017.0
1824,45019.0
1825,45021.0
1826,45023.0
1827,45025.0
1828,45027.0
1829,45029.0
1830,45033.0
1831,45035.0
1832,45037.0
1833,45039.0
1834,45041.0
1835,45043.0
1836,45045.0
1837,45047.0
1838,45049.0
1839,45051.0
1840,45053.0
